Počet uzlů,Počet zpráv
16,236
45,1014
36,626
13,162
37,616
46,914
16,204
22,272
11,176
37,702
25,328
23,258
47,914
17,314
27,422
42,648
46,910
25,456
40,672
13,150
27,454
35,766
44,1018
30,578
32,472
15,154
21,308
25,278
33,578
17,262
43,866
43,700
32,530
39,650
36,756
28,468
31,354
40,1002
46,1086
48,1080
36,530
32,570
34,478
37,478
44,1036
44,620
30,450
33,474
26,330
14,218
26,414
47,868
35,736
28,368
11,98
16,186
27,366
45,930
25,376
21,318
48,970
22,344
13,162
42,808
48,1072
36,550
12,194
13,158
43,758
22,286
42,656
13,174
41,576
22,264
13,122
35,658
15,218
21,232
33,680
11,174
17,280
49,992
34,672
29,644
27,426
23,352
44,770
34,664
36,680
11,150
30,500
22,340
35,618
46,798
15,182
42,942
27,386
22,326
10,136
